%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1588238467804027324,6313,1588238467802560091,/gps,0,1,35.6751047783,128.448029483,49.969,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238467934416854,6314,1588238467931380033,/gps,0,1,35.6751047567,128.448029477,49.97,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468057136465,6315,1588238468056601047,/gps,0,1,35.6751047633,128.448029488,49.972,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468187816362,6316,1588238468186419963,/gps,0,1,35.6751047533,128.448029477,49.975,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468316938439,6317,1588238468315979957,/gps,0,1,35.67510476,128.448029493,49.975,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468448503509,6318,1588238468447638034,/gps,0,1,35.6751047567,128.448029495,49.977,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468574943484,6319,1588238468573981046,/gps,0,1,35.675104755,128.44802949,49.977,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468700361865,6320,1588238468698530912,/gps,0,1,35.67510474,128.448029492,49.981,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468829409312,6321,1588238468827461957,/gps,0,1,35.6751047483,128.448029495,49.98,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238468956446624,6322,1588238468956062078,/gps,0,1,35.6751047367,128.448029483,49.985,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238469052392837,6323,1588238469051357984,/gps,0,1,35.6751047417,128.448029492,49.984,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238469184102730,6324,1588238469181529045,/gps,0,1,35.6751047433,128.448029483,49.984,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238469310437504,6325,1588238469309312105,/gps,0,1,35.67510475,128.44802948,49.985,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238469432370241,6326,1588238469431714057,/gps,0,1,35.6751047533,128.448029487,49.981,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238469564276850,6327,1588238469563847064,/gps,0,1,35.6751047417,128.448029472,49.987,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238469733455237,6328,1588238469731364011,/gps,0,1,35.675104755,128.448029478,49.989,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238469819148701,6329,1588238469818600893,/gps,0,1,35.6751047467,128.44802946,49.986,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238469953008150,6330,1588238469949843883,/gps,0,1,35.6751047433,128.448029473,49.989,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238470037727558,6331,1588238470037435054,/gps,0,1,35.6751047433,128.448029457,49.988,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238470204165727,6332,1588238470203259944,/gps,0,1,35.67510473,128.448029458,49.99,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238470295507410,6333,1588238470294853925,/gps,0,1,35.67510474,128.448029452,49.989,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238470424250168,6334,1588238470423624038,/gps,0,1,35.6751047383,128.448029452,49.989,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238470556591485,6335,1588238470555572032,/gps,0,1,35.6751047383,128.448029445,49.986,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238470682160582,6336,1588238470680952072,/gps,0,1,35.6751047267,128.44802946,49.986,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238470815540285,6337,1588238470814764022,/gps,0,1,35.6751047183,128.448029452,49.986,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238470939691140,6338,1588238470937742948,/gps,0,1,35.6751047233,128.448029443,49.985,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238471067082548,6339,1588238471066313028,/gps,0,1,35.6751047117,128.448029438,49.987,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238471196371365,6340,1588238471194979906,/gps,0,1,35.6751047017,128.44802944,49.987,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238471324138574,6341,1588238471323657035,/gps,0,1,35.6751047067,128.44802944,49.986,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238471450161306,6342,1588238471449613094,/gps,0,1,35.6751046883,128.448029438,49.984,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238471580059721,6343,1588238471578584909,/gps,0,1,35.6751046883,128.448029435,49.983,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238471675041626,6344,1588238471672830104,/gps,0,1,35.675104675,128.448029443,49.984,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238471801391409,6345,1588238471800147056,/gps,0,1,35.675104675,128.44802944,49.981,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238471927106789,6346,1588238471926583051,/gps,0,1,35.6751046683,128.448029437,49.979,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238472056703157,6347,1588238472055505037,/gps,0,1,35.67510466,128.44802944,49.982,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238472185059430,6348,1588238472184315919,/gps,0,1,35.6751046517,128.44802944,49.98,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238472314694619,6349,1588238472313390970,/gps,0,1,35.6751046433,128.448029435,49.982,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238472440581586,6350,1588238472440105915,/gps,0,1,35.6751046367,128.448029433,49.981,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238472575427429,6351,1588238472574456930,/gps,0,1,35.6751046383,128.448029435,49.979,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238472698830600,6352,1588238472697525978,/gps,0,1,35.6751046267,128.448029443,49.978,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238472825947912,6353,1588238472824827909,/gps,0,1,35.675104635,128.448029443,49.978,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238472919555698,6354,1588238472919291019,/gps,0,1,35.6751046267,128.448029438,49.98,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238473045152083,6355,1588238473044672012,/gps,0,1,35.6751046267,128.448029447,49.98,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238473175766231,6356,1588238473175385951,/gps,0,1,35.675104625,128.448029445,49.978,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238473304397459,6357,1588238473302736043,/gps,0,1,35.6751046183,128.448029463,49.981,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
1588238473434784704,6358,1588238473434312105,/gps,0,1,35.6751046233,128.448029453,49.981,0.3025,0.0,0.0,0.0,0.3025,0.0,0.0,0.0,1.21,1
